standard_family_id,standard_family_key
FAM-05C198B51435,IS/IEc IEEE 63195
FAM-2663AD63B742,IS 19691
FAM-E124685D0C38,IS 9471
FAM-317AF9FDA9C3,IS 6584
FAM-3298F7476C80,IS/IEC 61124
FAM-F68A6E7E49B2,IS/IEC 62506
FAM-91427900389D,IS 19330
FAM-10F4F66B8273,IS/ISO 22739
FAM-AECCD394F869,IS/ISO 23644
FAM-A21574F52728,IS 19496
FAM-6E53854B068E,IS 19610
FAM-E327FD3B58FD,IS 19674
FAM-4F04F9CD0D6C,IS 19673
FAM-8730AD013A04,IS 19696
FAM-A41172B41190,IS 15474
FAM-630CCFA69715,IS/ISO/IEC 24759
FAM-97A81F561868,IS/ISO/IEC 18004
FAM-08ED2DBC4202,IS 14202
FAM-B6ABAB7D8D2F,IS/IEC/IEE 63195
FAM-F5D703949AAB,IS/ISO/IECTR 10822
FAM-019E2432D9B6,IS/ISO/IEC 22237
FAM-4370F04872F1,IS 14231
FAM-119196C86DD5,IS/IEC 62623
FAM-417C8383AA53,IS/IEC 62087
FAM-3EA01C3DAF2A,IS 19529
