path_id,start_entity_id,end_entity_id,path_json,validation_status
PATH-5424C284C621D974,MSV1-A51A711D3379953F,MSV1-C342A6FEBB4D2C8F,"[""MSV1-A51A711D3379953F"", ""MSV1-C342A6FEBB4D2C8F""]",INFERRED_FAMILY_PATH
PATH-2423366C3CECAFFD,MSV1-C1BE4BA1C7258502,MSV1-C1BE4BA1C7258502,"[""MSV1-C1BE4BA1C7258502""]",INFERRED_FAMILY_PATH
PATH-AED2395F3FA7B17C,MSV1-E5D8C4BEF7A5A7FF,MSV1-E5D8C4BEF7A5A7FF,"[""MSV1-E5D8C4BEF7A5A7FF""]",INFERRED_FAMILY_PATH
PATH-EC2A92646FE566D5,MSV1-560D3F59763F3D1C,MSV1-C233F3BFCF9C449A,"[""MSV1-560D3F59763F3D1C"", ""MSV1-6F9D592362504DAC"", ""MSV1-85C48CC410A42594"", ""MSV1-3149521FB216A297"", ""MSV1-C233F3BFCF9C449A""]",INFERRED_FAMILY_PATH
PATH-02BB0CC22CEB5151,MSV1-2C9E6E9AD5C687EE,MSV1-28383B4BCFBAE650,"[""MSV1-2C9E6E9AD5C687EE"", ""MSV1-28383B4BCFBAE650""]",INFERRED_FAMILY_PATH
PATH-854AB8EBB455B4C6,MSV1-706FBC37F46572BE,MSV1-706FBC37F46572BE,"[""MSV1-706FBC37F46572BE""]",INFERRED_FAMILY_PATH
PATH-4F3E04D593AD7A60,MSV1-B680C30DD2A3110F,MSV1-B680C30DD2A3110F,"[""MSV1-B680C30DD2A3110F""]",INFERRED_FAMILY_PATH
PATH-02CAA6B227EA0EB0,MSV1-39C5419959F13931,MSV1-39C5419959F13931,"[""MSV1-39C5419959F13931""]",INFERRED_FAMILY_PATH
PATH-22EA2C4E1CEE3164,MSV1-16D15904229745DD,MSV1-16D15904229745DD,"[""MSV1-16D15904229745DD""]",INFERRED_FAMILY_PATH
PATH-D541049726322C40,MSV1-C0669E30731D086D,MSV1-C0669E30731D086D,"[""MSV1-C0669E30731D086D""]",INFERRED_FAMILY_PATH
PATH-7FE8EBDD72E570C1,MSV1-0EC17ACBA28E86E7,MSV1-0EC17ACBA28E86E7,"[""MSV1-0EC17ACBA28E86E7""]",INFERRED_FAMILY_PATH
PATH-DF185399C2F8E2FF,MSV1-DA7A3DC75735668E,MSV1-DA7A3DC75735668E,"[""MSV1-DA7A3DC75735668E""]",INFERRED_FAMILY_PATH
PATH-D43CE8F542C9BB9F,MSV1-EE8479A0C2961532,MSV1-EE8479A0C2961532,"[""MSV1-EE8479A0C2961532""]",INFERRED_FAMILY_PATH
